GW,Home,Away
5,Everton,Liverpool
5,Newcastle Utd,Manchester Utd
5,Sheffield Utd,Fulham
5,West Brom,Burnley
5,Chelsea,Southampton
5,Leicester City,Aston Villa
5,Manchester City,Arsenal
5,Crystal Palace,Brighton
5,Tottenham,West Ham
5,Leeds United,Wolves
6,Arsenal,Leicester City
6,West Ham,Manchester City
6,Aston Villa,Leeds United
6,Liverpool,Sheffield Utd
6,Brighton,West Brom
6,Fulham,Crystal Palace
6,Manchester Utd,Chelsea
6,Southampton,Everton
6,Wolves,Newcastle Utd
6,Burnley,Tottenham
7,Sheffield Utd,Manchester City
7,Wolves,Crystal Palace
7,Tottenham,Brighton
7,Burnley,Chelsea
7,Fulham,West Brom
7,Aston Villa,Southampton
7,Liverpool,West Ham
7,Newcastle Utd,Everton
7,Manchester Utd,Arsenal
7,Leeds United,Leicester City
8,Arsenal,Aston Villa
8,Leicester City,Wolves
8,Southampton,Newcastle Utd
8,Everton,Manchester Utd
8,West Ham,Fulham
8,Manchester City,Liverpool
8,Brighton,Burnley
8,West Brom,Tottenham
8,Crystal Palace,Leeds United
8,Chelsea,Sheffield Utd
